City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,egilsstadir,65.2653,-14.3948,284.1,87,100,4.12,IS,1722641418
84,quzhou,28.9594,118.8686,305.25,66,0,1.71,CN,1722641419
85,taro,-8.3862,115.28,294.15,94,54,0.36,ID,1722641420
86,fortuna,40.5982,-124.1573,292.79,90,100,4.63,US,1722641422
87,hermanus,-34.4187,19.2345,278.04,78,0,1.62,ZA,1722641423
88,aketi,2.7388,23.7833,296.9,78,61,0.37,CD,1722641424
89,bahia de caraquez,-0.6,-80.4167,297.25,85,96,3.1,EC,1722641425
90,mutuali,-14.8706,37.0044,288.6,71,0,1.39,MZ,1722641426
91,brisas de zicatela,15.8369,-97.0419,302.44,79,75,3.6,MX,1722641428
92,vrontados,38.4089,26.1328,296.95,57,0,1.22,GR,1722641429
93,anadyr,64.75,177.4833,282.43,93,100,5.0,RU,1722641430
94,la'ie,21.6477,-157.9253,303.13,74,100,5.36,US,1722641431
95,ryotsu-minato,38.0833,138.4333,302.0,66,1,2.2,JP,1722641432
96,port douglas,-16.4833,145.4667,294.83,77,77,7.87,AU,1722641434
97,pervomayskoye,43.919,46.7102,296.68,61,27,2.56,RU,1722641435
98,bredasdorp,-34.5322,20.0403,279.82,94,1,1.96,ZA,1722641436
99,tiksi,71.6872,128.8694,280.73,62,100,0.58,RU,1722641438
100,camocim,-2.9022,-40.8411,298.18,66,22,6.57,BR,1722641440
101,houghton,47.1219,-88.569,301.86,54,0,6.17,US,1722641441
102,puerto ayora,-0.7393,-90.3518,293.29,75,81,4.67,EC,1722641442
103,alice springs,-23.7,133.8833,282.9,50,70,0.0,AU,1722641443
104,ponta pora,-22.5361,-55.7256,296.8,32,0,3.66,BR,1722641445
105,shizuishan,39.2333,106.7694,294.15,72,16,3.36,CN,1722641446
106,nemuro,43.3236,145.575,291.38,84,74,4.47,JP,1722641447
107,kristiansund,63.1115,7.732,288.51,84,0,3.09,NO,1722641448
108,hithadhoo,-0.6,73.0833,301.47,76,95,3.37,MV,1722641449
109,stanley,54.868,-1.6985,288.59,90,20,2.06,GB,1722641451
110,iwanai,42.9744,140.5089,302.16,68,57,2.35,JP,1722641452
111,nieuw amsterdam,5.8833,-55.0833,299.24,89,40,0.0,SR,1722641453
112,prince rupert,54.3161,-130.3201,291.98,72,0,6.17,CA,1722641454
113,papatowai,-46.5619,169.4708,280.82,68,64,0.69,NZ,1722641455
114,udachny,66.4167,112.4,289.6,58,69,1.75,RU,1722641457
115,ola,59.5833,151.2833,283.23,66,100,2.44,RU,1722641458
116,naze,28.3667,129.4833,301.66,74,0,2.56,JP,1722641459
117,longyearbyen,78.2186,15.6401,286.06,82,0,1.03,SJ,1722641460
118,iskateley,67.6803,53.1512,284.39,88,2,5.94,RU,1722641462
119,mount pearl,47.5166,-52.7813,292.57,93,100,8.23,CA,1722641375
120,susuman,62.7833,148.1667,282.22,47,91,2.08,RU,1722641464
121,kone,-21.0595,164.8658,295.37,52,23,4.49,NC,1722641465
122,akobo,7.4344,3.9497,294.05,98,100,1.35,NG,1722641466
123,utrik,11.2278,169.8474,301.4,73,10,1.92,MH,1722641467
124,ca mau,9.1769,105.15,299.9,86,100,1.47,VN,1722641469
125,callao,-12.0667,-77.15,292.99,77,0,7.2,PE,1722641470
126,dwarka,22.2394,68.9678,300.66,88,100,9.33,IN,1722641471
127,labrador city,52.9463,-66.9114,296.1,60,75,2.06,CA,1722641472
128,dudinka,69.4058,86.1778,287.99,69,60,3.62,RU,1722641474
129,acarau,-2.8856,-40.12,298.21,77,23,7.33,BR,1722641475
130,hamilton,39.1834,-84.5333,298.2,79,45,1.79,US,1722641472
131,olonkinbyen,70.9221,-8.7187,278.89,94,100,5.18,SJ,1722641477
132,kembe,4.6228,21.8865,294.46,91,88,0.9,CF,1722641478
133,north bend,43.4065,-124.2243,297.03,82,100,5.14,US,1722641480
134,boca do acre,-8.7522,-67.3978,303.4,42,83,1.44,BR,1722641481
135,arkalyk,50.2486,66.9114,291.59,54,40,3.55,KZ,1722641482
136,enewetak,11.3474,162.3373,301.85,78,53,4.65,MH,1722641483
137,georgetown,5.4112,100.3354,302.01,75,20,1.54,MY,1722641484
138,mata-utu,-13.2816,-176.1745,300.48,72,49,6.53,WF,1722641486
139,dubbo,-32.25,148.6167,281.22,81,28,4.12,AU,1722641487
140,yarmouth,41.7057,-70.2286,300.73,88,0,5.66,US,1722641488
141,la cruz,23.9167,-106.9,303.16,74,7,3.6,MX,1722641489
142,lebu,-37.6167,-73.65,282.59,92,69,4.31,CL,1722641490
143,east london,-33.0153,27.9116,287.27,81,23,2.08,ZA,1722641430
144,shubarkuduk,49.1447,56.4872,296.48,29,76,3.31,KZ,1722641493
145,mabaruma,8.2,-59.7833,296.82,99,89,1.09,GY,1722641494
146,portsmouth,50.799,-1.0913,292.54,80,67,5.36,GB,1722641495
147,el hamma,33.8915,9.7963,303.77,23,0,1.64,TN,1722641496
148,liwale,-9.7667,37.9333,288.65,94,0,0.67,TZ,1722641498
149,puerto lleras,3.0223,-73.4044,297.62,85,5,1.21,CO,1722641499
150,tamanrasset,22.785,5.5228,302.1,34,0,2.06,DZ,1722641500
151,arraial do cabo,-22.9661,-42.0278,295.04,78,0,10.06,BR,1722641501
152,howard springs,-12.497,131.047,297.1,47,39,4.19,AU,1722641502
153,inari,68.906,27.0288,285.91,95,9,2.85,FI,1722641504
154,darasun,51.6667,114.0,289.97,95,100,2.87,RU,1722641505
155,roxas,11.5853,122.7511,297.67,87,96,2.5,PH,1722641337
